% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	1.26635e-12	2669.7	0
0.000214285	1	4	0	0.00333333	7.02728e+12	0
0.000214285	2	2	0	1.26635e-12	2669.7	0
0.000214285	2	5	0	0.00333333	7.02728e+12	0
0.000214285	3	3	0	1.26643e-12	2669.86	0
0.000214285	3	6	0	0.00333333	7.02728e+12	0
0.00121429	1	1	0	1.26635e-12	2669.7	0
0.00121429	1	4	0	0.00333333	7.02728e+12	0
0.00121429	2	2	0	1.26635e-12	2669.7	0
0.00121429	2	5	0	0.00333333	7.02728e+12	0
0.00121429	3	3	0	1.26643e-12	2669.86	0
0.00121429	3	6	0	0.00333333	7.02728e+12	0
0.00221428	1	1	0	1.26635e-12	2669.7	0
0.00221428	1	4	0	0.00333333	7.02728e+12	0
0.00221428	2	2	0	1.26635e-12	2669.7	0
0.00221428	2	5	0	0.00333333	7.02728e+12	0
0.00221428	3	3	0	1.26643e-12	2669.86	0
0.00221428	3	6	0	0.00333333	7.02728e+12	0
0.00321428	1	1	0	1.26635e-12	2669.7	0
0.00321428	1	4	0	0.00333333	7.02728e+12	0
0.00321428	2	2	0	1.26635e-12	2669.7	0
0.00321428	2	5	0	0.00333333	7.02728e+12	0
0.00321428	3	3	0	1.26643e-12	2669.86	0
0.00321428	3	6	0	0.00333333	7.02728e+12	0
0.00421428	1	1	0	1.26635e-12	2669.7	0
0.00421428	1	4	0	0.00333333	7.02728e+12	0
0.00421428	2	2	0	1.26635e-12	2669.7	0
0.00421428	2	5	0	0.00333333	7.02728e+12	0
0.00421428	3	3	0	1.26643e-12	2669.86	0
0.00421428	3	6	0	0.00333333	7.02728e+12	0
0.00521428	1	1	0	1.26635e-12	2669.7	0
0.00521428	1	4	0	0.00333333	7.02728e+12	0
0.00521428	2	2	0	1.26635e-12	2669.7	0
0.00521428	2	5	0	0.00333333	7.02728e+12	0
0.00521428	3	3	0	1.26643e-12	2669.86	0
0.00521428	3	6	0	0.00333333	7.02728e+12	0
0.00621428	1	1	0	1.26635e-12	2669.7	0
0.00621428	1	4	0	0.00333333	7.02728e+12	0
0.00621428	2	2	0	1.26635e-12	2669.7	0
0.00621428	2	5	0	0.00333333	7.02728e+12	0
0.00621428	3	3	0	1.26643e-12	2669.86	0
0.00621428	3	6	0	0.00333333	7.02728e+12	0
0.00721428	1	1	0	1.26635e-12	2669.7	0
0.00721428	1	4	0	0.00333333	7.02728e+12	0
0.00721428	2	2	0	1.26635e-12	2669.7	0
0.00721428	2	5	0	0.00333333	7.02728e+12	0
0.00721428	3	3	0	1.26643e-12	2669.86	0
